,AOO_pot_mix,mean_pot_mix,std_pot_mix,var_pot_mix,Year_pot_mix
0,0.2909090909090909,0.19079792414635968,0.09762582156019266,0.009530801035302577,2009
1,0.3007518796992481,0.19424351124805295,0.10187116339043945,0.010377733930521611,2009
2,0.3,0.19666481335588323,0.09906444839898648,0.009813764936595455,2009
3,0.29573170731707316,0.18394772623697161,0.09647462639168783,0.00930735353741575,2009
4,0.2837653478854025,0.17628002308904553,0.09700044684144042,0.009409086687439108,2007
5,0.2876712328767123,0.18113769907567512,0.09739942907997794,0.009486648785105651,2009
6,0.3010590015128593,0.1919150998816226,0.10235943106400325,0.010477453127746433,2009
7,0.3007518796992481,0.19063079901753907,0.1020659062737862,0.01041744922348931,2009
8,0.3007518796992481,0.19033792546451742,0.09673994056008568,0.00935861609956891,2009
9,0.28610354223433243,0.18943822511449304,0.09948357973093395,0.009896982636081094,2007
10,0.30257186081694404,0.19613907821224805,0.09744992761164895,0.00949648839151562,2009
11,0.29465648854961835,0.19101376312302243,0.10414483537344352,0.010846146734961652,2009
12,0.2978723404255319,0.19048655465100806,0.0985455030731216,0.00971121617593462,2009
13,0.29249617151607965,0.19171434456338843,0.10089295805736008,0.010179388985564222,2009
14,0.29555895865237364,0.19121530109443596,0.1004413685560061,0.010088468517403453,2009
15,0.297554347826087,0.190063997483755,0.10347109861341494,0.01070626824826704,2007
16,0.3037593984962406,0.19927532080569785,0.10177078981798457,0.010357293660176393,2009
17,0.30271084337349397,0.18688950124109227,0.099675483154055,0.009935201941994301,2009
18,0.29774436090225564,0.18773025678216862,0.09467394877700208,0.008963156577030413,2009
19,0.29878048780487804,0.19666804749948671,0.10236655591742891,0.010478911770396098,2009
20,0.2857142857142857,0.1882995655575607,0.09666960938041283,0.0093450133777616,2009
21,0.29652042360060515,0.19113605741853415,0.1006940206412256,0.010139285792895567,2009
22,0.28440366972477066,0.18772477536805054,0.09420726760913141,0.008875009270378499,2009
23,0.29518072289156627,0.18161919878792165,0.09879923021805291,0.009761287891679819,2009
24,0.2980332829046899,0.19117100731774705,0.10060116090836922,0.010120593576111597,2009
25,0.2952815829528158,0.18732211937034046,0.09798430770196939,0.00960092455583422,2009
26,0.2937595129375951,0.18283762060400313,0.098532574209355,0.00970866818032205,2009
27,0.3067669172932331,0.19534949868251913,0.10111624551477387,0.010224495107004027,2009
28,0.2888283378746594,0.1865821655014778,0.1014127581258645,0.010284547510695097,2007
29,0.2833078101071976,0.18605697054243345,0.09455951182350524,0.008941501276299627,2009
